State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Puerto Rico,1281065,382368,,382368,2017,9,2016,7,
N. Mariana Islands,15472,,,,2018,8,2016,10,
Kansas,371933,,,,2017,7,2015,3,
Tennessee,1424822,,,,2016,12,2014,6,
Missouri,973768,,,,2017,9,2016,4,
California,13471736,2999555,2999555,0,2017,7,2015,6,Awaiting state reporting/enrollment reasonableness review in progress
Alabama,1020587,,,,2019,12,2018,1,
Pennsylvania,2543029,476206,422776,53430,2017,7,2015,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nebraska,242469,,,,2019,12,2017,11,
Utah,311905,,,,2016,12,2014,6,
New Mexico,677369,134292,134292,0,2016,12,2014,4,
Texas,4298147,,,,2017,7,2015,8,
Iowa,582561,145580,135081,10499,2017,9,2016,1,
Wyoming,65015,,,,2017,7,2015,12,
Arizona,1939437,429692,112045,317647,2018,8,2017,4,
Rhode Island,279851,59280,59280,0,2017,7,2015,12,
Oregon,1026271,499046,417865,81181,2018,8,2016,10,
Montana,151250,,,,2016,12,2014,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
North Carolina,2038352,,,,2017,9,2016,4,
Massachusetts,1935129,389616,0,389616,2017,7,2015,2,
Michigan,2108413,683111,630595,52516,2018,8,2017,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
West Virginia,512056,151035,151035,0,2016,12,2014,11,
Vermont,195412,53761,0,53761,2017,7,2015,1,
Pennsylvania,2584200,519659,464922,54737,2017,7,2015,8,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Idaho,320119,,,,2018,8,2017,9,
Alabama,1050054,,,,2017,7,2015,10,
Maryland,1115302,253412,253412,,2017,9,2016,4,
Maryland,1175307,285679,285679,0,2018,8,2016,11,
Missouri,904979,,,,2017,7,2015,4,
Puerto Rico,1252937,380739,,380739,2018,8,2017,2,
Wyoming,59067,,,,2019,12,2018,3,
Maryland,1064080,220428,220428,,2017,7,2015,9,
Minnesota,1147464,197001,196138,863,2018,8,2017,2,
Mississippi,722015,,,,2017,9,2016,7,
New York,6099728,3454112,523477,2930635,2018,8,2017,9,
South Carolina,1255998,,,,2018,8,2017,1,
Maine,273778,,,,2017,7,2015,11,
Rhode Island,285492,61512,61512,,2017,9,2016,9,
Oklahoma,671137,,,,2017,9,2016,8,
West Virginia,554418,173215,173215,0,2017,7,2015,11,
Nevada,600661,214869,214869,0,2019,12,2018,4,
Illinois,2850842,725225,618109,107116,2019,12,2018,5,
Massachusetts,1798346,302795,0,302795,2016,12,2014,6,
Kentucky,1341670,476020,476020,0,2018,8,2017,6,
Iowa,553661,121275,112326,8949,2016,12,2014,12,
New Jersey,1733060,590585,590585,0,2017,7,2015,5,Awaiting state reporting/enrollment reasonableness review in progress
Michigan,2446407,696572,635680,60892,2019,12,2018,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Wyoming,64006,,,,2017,9,2016,3,
Montana,205694,54756,54756,,2017,9,2016,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Idaho,297416,,,,2017,7,2015,6,
Washington,1837842,610660,596403,14257,2018,8,2016,11,
Virginia,1047970,,,,2019,12,2017,12,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Mississippi,719344,,,,2017,9,2016,8,
Ohio,2609422,251610,236853,14757,2016,12,2014,3,
Wyoming,71694,,,,2016,12,2014,11,
Massachusetts,1834489,385266,0,385266,2019,12,2018,4,
Arizona,1871923,415803,107641,308162,2019,12,2018,3,
Hawaii,318073,108875,33881,74994,2017,7,2015,12,
South Dakota,106612,,,,2018,8,2017,6,
Idaho,303906,,,,2017,9,2016,1,
Hawaii,327989,119145,22305,96840,2019,12,2018,5,
Idaho,301173,,,,2017,7,2015,8,
New Hampshire,190262,54913,54804,109,2019,12,2017,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Tennessee,1604714,,,,2017,7,2015,7,
Ohio,3056643,656958,609321,47637,2017,7,2015,8,
Hawaii,331387,120518,22904,97614,2019,12,2017,12,
Georgia,1833019,,,,2018,8,2016,11,
Guam,36315,2942,,2942,2017,7,2015,10,
New York,6103806,1869318,273067,1596251,2017,9,2016,9,
Nevada,525937,166393,166393,0,2017,7,2015,1,
Illinois,2968855,505572,503267,2305,2016,12,2014,8,
Idaho,319708,,,,2019,12,2017,12,
South Carolina,1208280,,,,2017,9,2016,3,
Rhode Island,224402,21601,21601,0,2016,12,2014,1,
New Hampshire,191093,52575,52340,235,2017,9,2016,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
New Mexico,852270,252897,252897,0,2019,12,2017,12,
North Carolina,2031029,,,,2017,9,2016,2,
Rhode Island,275835,58126,58126,,2017,7,2015,8,
Alabama,1020802,,,,2016,12,2014,4,
Guam,35559,3752,,3752,2018,8,2017,9,
Illinois,2917636,679861,648044,31817,2017,9,2016,6,
Mississippi,729028,,,,2017,9,2016,4,
Nebraska,231873,,,,2017,7,2015,6,
Kansas,368475,,,,2016,12,2014,7,
Connecticut,857309,216913,201597,15316,2017,9,2016,9,
Arizona,1912427,426466,111692,314774,2019,12,2018,1,
Oklahoma,664493,,,,2019,12,2017,11,
New Mexico,616808,86173,86173,0,2016,12,2014,1,
Wyoming,65220,,,,2017,7,2015,8,
Tennessee,1641168,,,,2019,12,2018,1,
Wyoming,64156,,,,2017,9,2016,7,
Missouri,788737,,,,2016,12,2014,7,
New Hampshire,189766,55736,55450,286,2019,12,2018,3,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Mississippi,706690,,,,2018,8,2017,9,
Alabama,1014931,,,,2016,12,2014,3,
South Carolina,1188671,,,,2016,12,2014,11,
Hawaii,289192,72940,45869,27071,2016,12,2014,3,
Utah,327719,,,,2017,7,2015,4,
Arizona,1721113,335191,54816,280375,2016,12,2014,11,
Hawaii,329234,115642,20853,94789,2017,9,2016,7,
Minnesota,1156250,200301,199570,731,2017,7,2015,2,
Totals,76659036,15600231,12265641,3334590,2019,12,2017,11,
Colorado,1089078,265610,264274,1336,2016,12,2014,8,
Guam,36128,3025,,3025,2017,7,2015,8,
Georgia,1835685,,,,2018,8,2017,4,
Maryland,1150970,204708,204708,0,2016,12,2014,9,
Colorado,1281495,411448,404895,6553,2019,12,2018,5,
Texas,4282237,,,,2017,7,2015,6,
Arizona,1864623,412927,105049,307878,2019,12,2018,6,
North Carolina,2159762,,,,2019,12,2018,6,
California,13783326,2879423,2879423,0,2017,7,2015,4,Awaiting state reporting/enrollment reasonableness review in progress
Guam,36179,3002,,3002,2017,9,2016,1,
Delaware,196362,49144,3032,46112,2016,12,2014,2,
Kansas,369707,,,,2016,12,2014,6,
New Jersey,1704069,565140,565140,,2017,9,2016,4,
Wisconsin,1194721,,,,2016,12,2014,9,
Guam,36924,3150,,3150,2016,12,2014,5,
New Hampshire,190249,54862,54755,107,2018,8,2017,8,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Michigan,2315935,631548,587473,44075,2017,9,2016,3,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
New Hampshire,190733,56186,55908,278,2019,12,2018,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Maine,266872,,,,2017,9,2016,6,
Guam,36315,2942,,2942,2017,7,2015,4,
Oregon,1055080,518904,452269,66635,2017,7,2015,12,
District of Columbia,250078,62809,62809,,2017,7,2015,9,
Tennessee,1604631,,,,2019,12,2018,3,
Washington,1763703,558244,543005,15239,2017,7,2015,7,
Georgia,1858478,,,,2017,7,2015,7,
North Dakota *,93170,20981,19965,1016,2018,8,2016,12,Awaiting state reporting/enrollment reasonableness review in progress
New Mexico,725372,167251,167251,0,2016,12,2014,9,
New Jersey,1690998,551225,551225,0,2017,7,2015,12,
Virginia,887379,,,,2016,12,2014,3,
District of Columbia,247513,105643,66692,38951,2018,8,2016,11,
Arizona,1942629,428138,110445,317693,2018,8,2016,11,
Vermont,183886,45836,0,45836,2016,12,2014,4,
Delaware,202383,59534,10736,48798,2017,9,2016,6,
Georgia,1956791,,,,2019,12,2018,5,
District of Columbia,257352,108325,67577,40748,2018,8,2017,5,
Texas,4088395,,,,2016,12,2014,6,
Florida,4005484,,,,2017,7,2015,11,
West Virginia,540259,163363,163363,0,2017,7,2015,5,
Connecticut,697756,115860,115860,0,2016,12,2014,2,
New Hampshire,162184,23995,23820,175,2016,12,2014,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Arkansas,1181571,276934,237755,39179,2017,7,2015,2,
Minnesota,1098568,209780,208939,841,2019,12,2017,10,
South Dakota,105692,,,,2019,12,2018,2,
Virginia,991161,,,,2017,7,2015,9,
Virgin Islands,23177,4389,,4389,2017,9,2016,7,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Iowa,533232,93813,90124,3689,2016,12,2014,4,
Wyoming,64245,,,,2017,9,2016,2,
North Carolina,1913754,,,,2016,12,2014,10,
Delaware,205356,58533,9961,48572,2016,12,2014,12,
New Jersey,1690042,567189,567189,0,2019,12,2018,3,
West Virginia,539092,162000,162000,0,2017,7,2015,4,
Illinois,2990911,623142,609406,13736,2017,7,2015,1,
Arizona,1932468,430199,112355,317844,2018,8,2017,8,
Rhode Island,277895,59165,59165,,2017,7,2015,7,
Connecticut,844325,174691,164581,10110,2016,12,2014,9,
Ohio,3172863,697479,641142,56337,2017,9,2016,1,
Nebraska,250848,,,,2018,8,2017,5,
Massachusetts,1807979,373499,0,373499,2019,12,2018,6,
South Dakota,106439,,,,2018,8,2017,8,
Mississippi,713065,,,,2018,8,2017,1,
Nevada,530596,164906,164906,0,2016,12,2014,12,
District of Columbia,245406,111744,72002,39742,2017,9,2016,1,
Indiana,1348135,436545,287589,148956,2018,8,2017,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Georgia,1838663,,,,2018,8,2017,3,
New Jersey,1712197,578014,578014,0,2018,8,2017,4,
Colorado,1120120,284045,282417,1628,2016,12,2014,10,
Wyoming,63900,,,,2017,9,2016,9,
Arkansas,859061,265032,224870,40162,2016,12,2014,12,
Michigan,2315657,626774,582929,43845,2017,9,2016,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
South Dakota,108339,,,,2017,9,2016,6,
Tennessee,1460325,,,,2016,12,2014,9,
West Virginia,545712,170044,170044,0,2019,12,2017,11,
New Jersey,1687716,566209,566209,0,2019,12,2018,6,
Minnesota,1147089,189184,188370,814,2018,8,2016,11,
California,12159504,3576427,3576427,0,2017,9,2016,8,Awaiting state reporting/enrollment reasonableness review in progress
Guam,35689,3365,,3365,2017,9,2016,8,
Utah,307149,,,,2018,8,2017,3,
Oregon,1103956,546448,474810,71638,2017,7,2015,10,
Rhode Island,313477,71998,71998,0,2018,8,2017,6,
New Mexico,906788,267136,267136,0,2018,8,2017,2,
Montana,225413,68027,68027,0,2018,8,2016,12,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Virginia,988914,,,,2017,9,2016,2,
Connecticut,886380,230514,195934,34580,2018,8,2017,9,
Vermont,201885,57829,0,57829,2017,7,2015,6,
West Virginia,554631,173016,173016,0,2017,7,2015,10,
North Dakota,81745,15684,15257,427,2016,12,2014,11,
Minnesota,1147722,197638,196812,826,2018,8,2017,1,
Rhode Island,307831,68526,68526,0,2019,12,2017,11,
Tennessee,1714182,,,,2018,8,2016,10,
New Mexico,864239,245826,245826,,2017,9,2016,5,
Maine,267907,,,,2017,9,2016,5,
Arizona,1868275,413377,105782,307595,2019,12,2018,5,
Indiana,1355100,447771,322240,125531,2018,8,2017,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,3037645,644234,643879,355,2019,12,2017,11,
Colorado,1153171,307374,305818,1556,2016,12,2014,12,
Alaska,120154,,,,2017,7,2015,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Indiana,1164051,279517,159005,120512,2017,7,2015,6,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Arizona,1936322,428063,111866,316197,2018,8,2017,5,
Mississippi,730354,,,,2017,7,2015,9,
Rhode Island,265601,49537,49537,0,2016,12,2014,10,
West Virginia,565742,178898,178898,,2017,9,2016,7,
Nebraska,236510,,,,2016,12,2014,4,
Hawaii,286260,85011,33684,51327,2017,7,2015,1,
Maine,256424,0,0,0,2019,12,2018,2,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Florida,3761941,,,,2016,12,2014,2,
Missouri,964403,,,,2017,9,2016,1,
Tennessee,1494495,,,,2016,12,2014,11,
Montana,129663,,,,2017,7,2015,3,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Pennsylvania,2799338,751041,707912,43129,2017,9,2016,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Delaware,209914,62228,9993,52235,2019,12,2018,5,
South Carolina,1172308,,,,2017,7,2015,12,
Nevada,608562,211053,211053,0,2018,8,2017,5,
Maine,259091,,,,2018,8,2017,9,
Idaho,281518,,,,2016,12,2014,7,
New Mexico,824841,226924,226924,,2017,7,2015,8,
Illinois,2998950,595710,582720,12990,2016,12,2014,12,
Massachusetts,1841526,384561,,384561,2017,9,2016,8,
Nebraska,232497,,,,2017,7,2015,11,
Colorado,1241434,361944,360284,1660,2017,7,2015,6,
New Jersey,1683623,562011,562011,0,2018,8,2017,7,
Washington,1783252,575689,562028,13661,2019,12,2018,4,
Massachusetts,1824673,387666,0,387666,2018,8,2017,2,
Connecticut,860758,208427,194702,13725,2017,9,2016,4,
Montana,135686,,,,2017,7,2015,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Connecticut,822050,174804,155237,19567,2017,7,2015,6,
Arizona,1737981,353011,64484,288527,2017,7,2015,1,
West Virginia,517992,155636,155636,0,2016,12,2014,10,
Kansas,369145,,,,2017,7,2015,9,
Delaware,221831,67907,11463,56444,2017,9,2016,2,
Ohio,3158606,683222,626715,56507,2017,7,2015,10,
Minnesota,1063182,201718,200828,890,2018,8,2017,9,
Pennsylvania,2704974,783394,742901,40493,2018,8,2017,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Oregon,1055508,520730,453306,67424,2017,7,2015,11,
Amer. Samoa,27898,,,,2019,12,2017,12,
Louisiana,1459565,,,,2017,9,2016,2,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
American Samoa,36726,,,,2017,7,2015,1,
Rhode Island,309786,70699,70699,0,2018,8,2017,5,
Tennessee,1689974,,,,2017,9,2016,3,
Guam,36163,3137,,3137,2017,9,2016,4,
Mississippi,696685,,,,2019,12,2018,2,
Alabama,1046710,,,,2017,9,2016,2,
Arizona,1896166,419126,108549,310577,2017,9,2016,1,
Tennessee,1579967,,,,2018,8,2017,8,
Arkansas,922157,292573,292299,274,2019,12,2018,3,
Oregon,970599,461281,384388,76893,2019,12,2017,10,
Delaware,209755,62188,9926,52262,2019,12,2018,6,
Texas,4322140,,,,2017,7,2015,11,
Nevada,604153,210670,210670,0,2018,8,2017,2,
Puerto Rico,1266994,404657,,404657,2019,12,2018,4,
New Mexico,894255,262052,262052,0,2018,8,2017,7,
Virginia,999546,,,,2017,9,2016,9,
Hawaii,314274,105192,33664,71528,2017,7,2015,10,
Missouri,935393,,,,2017,7,2015,8,
Maine,281844,,,,2016,12,2014,12,
Rhode Island,283405,60337,60337,,2017,9,2016,6,
Connecticut,891841,219917,202955,16962,2018,8,2016,11,
Delaware,206170,61395,10525,50870,2017,9,2016,4,
Connecticut,927932,246769,225756,21013,2019,12,2018,3,
Wisconsin,1188340,,,,2018,8,2017,4,
Tennessee,1555500,,,,2018,8,2017,6,
New York,6583602,2019877,267636,1752241,2017,7,2015,9,
Maine,262731,,,,2018,8,2016,10,
Maryland,1217479,306831,306831,0,2019,12,2017,10,
Nebraska,259749,,,,2018,8,2017,8,
Wisconsin,1194301,,,,2017,7,2015,7,
Oklahoma,702654,,,,2017,7,2015,7,
Louisiana,1327754,,,,2016,12,2014,9,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1580857,,,,2017,7,2015,6,
Oregon,966213,423448,340198,83250,2016,12,2014,4,
Indiana,1151221,243388,129081,114307,2017,7,2015,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Wyoming,60658,,,,2018,8,2017,9,
Pennsylvania,2824584,776319,733629,42690,2018,8,2016,12,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Massachusetts,1741248,343680,0,343680,2018,8,2017,9,
Florida,4020131,,,,2017,7,2015,1,
Alaska,193073,40341,40315,26,2019,12,2017,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Alaska,161553,24528,24528,,2017,9,2016,8,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Kentucky,950515,161540,161540,0,2016,12,2014,1,
Kentucky,1317113,463859,463859,0,2018,8,2016,11,
Washington,1545269,371397,353600,17797,2016,12,2014,3,
Florida,4023691,,,,2018,8,2016,11,
Puerto Rico,1125810,398382,,398382,2017,7,2015,6,
Arkansas,944687,320997,310757,10240,2017,9,2016,9,
Iowa,598557,159281,146143,13138,2019,12,2018,2,
Montana,213080,58138,58138,,2017,9,2016,9,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Missouri,824076,,,,2016,12,2014,10,
Maine,272127,,,,2017,9,2016,2,
Hawaii,331796,121219,22886,98333,2019,12,2018,3,
New Hampshire,191335,56780,56508,272,2019,12,2018,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Michigan,2385285,671352,621809,49543,2018,8,2017,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
N. Mariana Islands,15472,,,,2018,8,2017,8,
Connecticut,860230,209154,195232,13922,2017,9,2016,5,
Arkansas,926611,299303,298957,346,2019,12,2017,12,
Kansas,383308,,,,2017,7,2015,10,
Nevada,591288,200583,200583,,2017,9,2016,7,
New York,6156398,1927826,301605,1626221,2019,12,2018,6,
Iowa,591377,148323,137662,10661,2017,9,2016,7,
Oregon,1005138,483581,403755,79826,2018,8,2016,11,
Washington,1419916,247048,229626,17422,2016,12,2014,1,
Idaho,296530,,,,2017,7,2015,2,
Indiana,1333123,310612,310612,0,2019,12,2018,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Pennsylvania,2847770,797020,754654,42366,2018,8,2017,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
District of Columbia,253044,107668,67795,39873,2018,8,2017,2,
Guam,36997,3096,,3096,2016,12,2014,7,
Puerto Rico,1257013,383202,,383202,2019,12,2018,1,
Texas,4263140,,,,2016,12,2014,9,
Arkansas,858417,261289,221422,39867,2016,12,2014,11,
Michigan,2307957,617209,574606,42603,2017,9,2016,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Nebraska,232943,,,,2017,9,2016,1,
New Jersey,1701675,564628,564628,,2017,9,2016,5,
Oregon,1009254,487191,406930,80261,2018,8,2017,6,
Maine,269510,,,,2017,9,2016,3,
Iowa,523281,83880,81121,2759,2016,12,2014,3,
Mississippi,723301,,,,2017,7,2015,12,
Connecticut,910314,234323,215370,18953,2019,12,2017,11,
Louisiana,1647299,473172,473172,0,2019,12,2018,1,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
South Carolina,1195085,,,,2017,9,2016,2,
Massachusetts,1712146,289543,0,289543,2016,12,2014,2,
Ohio,3033936,713324,655680,57644,2017,9,2016,9,
Michigan,1832594,,,,2016,12,2014,3,
Arkansas,832729,242229,197444,44785,2016,12,2014,7,
Virginia,900240,,,,2016,12,2014,5,
Alabama,1030995,,,,2018,8,2016,11,
Alabama,1018967,,,,2019,12,2018,2,
Delaware,210636,60006,9280,50726,2017,7,2015,12,
Tennessee,1350347,,,,2016,12,2014,2,
North Dakota,80996,10346,10135,211,2016,12,2014,5,
Delaware,209887,62284,10034,52250,2019,12,2018,4,
Utah,326625,,,,2017,7,2015,10,
Oklahoma,748977,,,,2017,7,2015,2,
Pennsylvania,2063775,,,,2016,12,2014,1,
Illinois,2898090,697824,658962,38862,2018,8,2017,3,
New Mexico,881190,252751,252751,,2017,9,2016,8,
New York,6600403,2025294,266293,1759001,2017,7,2015,8,
Wisconsin,1197958,,,,2017,7,2015,5,
Massachusetts,1823653,370453,0,370453,2017,7,2015,10,
Ohio,2703988,330271,307475,22796,2016,12,2014,5,
Indiana,1331673,442909,322891,120018,2019,12,2017,12,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
North Dakota,92319,20347,19287,1060,2018,8,2017,9,Awaiting state reporting/enrollment reasonableness review in progress
Massachusetts,1809251,369509,0,369509,2019,12,2018,1,
Totals,74428265,10766702,8067744,2698958,2016,12,2014,12,
Pennsylvania,2793840,744698,701615,43083,2017,9,2016,8,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
California,14163162,2114604,2114604,0,2016,12,2014,7,Awaiting state reporting/enrollment reasonableness review in progress
Oregon,987156,467369,388213,79156,2018,8,2017,3,
Maryland,1186270,260190,260190,0,2017,7,2015,3,
District of Columbia,234516,50181,50181,0,2016,12,2014,4,
Michigan,2372229,665259,616931,48328,2018,8,2016,12,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Mississippi,704321,,,,2016,12,2014,9,
North Dakota,79031,10611,10351,260,2016,12,2014,6,
West Virginia,565652,179572,179572,,2017,9,2016,6,
California,12966593,3787079,3787079,0,2019,12,2018,3,
Kentucky,1267940,424667,424667,0,2017,7,2015,5,
Pennsylvania,2082482,,,,2016,12,2014,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Alabama,1045963,,,,2017,9,2016,4,
Guam,36696,2864,,2864,2016,12,2014,12,
Georgia,1834932,,,,2018,8,2017,1,
Virginia,940300,,,,2017,7,2015,2,
Maryland,1143497,268776,268776,,2017,9,2016,7,
Puerto Rico,1278215,384541,,384541,2017,9,2016,9,
Virgin Islands,19724,857,,857,2017,7,2015,7,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Kansas,385447,,,,2018,8,2017,1,
California,13175429,3847630,3847630,0,2019,12,2018,1,
Minnesota,1135410,190878,189999,879,2017,7,2015,9,
Wisconsin,1188074,,,,2019,12,2018,5,
North Carolina,1992113,,,,2017,7,2015,11,
Oklahoma,750053,,,,2016,12,2014,7,
Idaho,299830,,,,2017,7,2015,7,
Iowa,592855,150790,139244,11546,2018,8,2017,6,
New Jersey,1702816,561765,561765,,2017,9,2016,2,
Alaska,121405,,,,2016,12,2014,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Missouri,934883,,,,2017,7,2015,7,
Alabama,1021681,,,,2018,8,2017,7,
N. Mariana Islands,17000,,,,2017,7,2015,9,
N. Mariana Islands,17000,,,,2016,12,2014,12,
Kentucky,1336657,473576,473576,0,2019,12,2018,4,
North Dakota,92010,20334,19289,1045,2018,8,2017,7,Awaiting state reporting/enrollment reasonableness review in progress
New York,6112011,3506062,523962,2982100,2018,8,2017,7,
Illinois,2892062,737515,631243,106272,2019,12,2018,2,
Michigan,2319880,623547,580883,42664,2017,9,2016,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Connecticut,904274,230296,212987,17309,2018,8,2017,1,
Missouri,965396,,,,2017,9,2016,3,
Nebraska,242568,,,,2018,8,2017,4,
Totals,75846722,13326840,9922340,3404500,2017,7,2015,7,
Missouri,987737,,,,2018,8,2016,10,
Connecticut,793160,182038,167890,14148,2017,7,2015,9,
Virginia,1045734,,,,2019,12,2017,11,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Arizona,1940684,427753,111198,316555,2018,8,2017,3,
Kentucky,1304861,451844,451844,,2017,9,2016,5,
Amer. Samoa,27898,,,,2019,12,2018,5,
North Dakota,81364,14966,14523,443,2016,12,2014,10,
Vermont,177716,58254,0,58254,2019,12,2017,11,
Oregon,1105141,527765,458143,69622,2017,7,2015,5,
California,13115972,3808406,3808406,0,2019,12,2017,11,
Totals,75771072,13594514,10176778,3417736,2017,7,2015,9,
Guam,36807,2871,,2871,2017,7,2015,2,
New Hampshire,177148,38537,38179,358,2017,7,2015,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Colorado,1125105,289310,287699,1611,2016,12,2014,11,
Pennsylvania,2848611,790703,749178,41525,2018,8,2017,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Oregon,1001557,482572,402847,79725,2018,8,2017,7,
Illinois,2805169,659901,618912,40989,2018,8,2017,9,
South Carolina,1193222,,,,2016,12,2014,12,
Virgin Islands,14725,,,,2017,7,2015,1,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Maryland,1125293,219428,219428,0,2017,7,2015,4,
Oklahoma,665228,,,,2017,9,2016,7,
New Hampshire,180955,43263,43065,198,2017,7,2015,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Wisconsin,1191620,,,,2019,12,2018,4,
South Dakota,107902,,,,2018,8,2017,2,
California,11791879,3809782,3809782,0,2018,8,2017,4,
Oregon,988654,467690,388007,79683,2018,8,2017,2,
Delaware,209937,60674,9618,51056,2017,7,2015,4,
Minnesota,1194168,207856,207164,692,2017,7,2015,11,
Nevada,600294,204878,204878,0,2018,8,2016,10,
Michigan,2128637,326627,304205,22422,2016,12,2014,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Montana,260387,97926,97926,0,2019,12,2018,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Virginia,985915,,,,2017,7,2015,8,
Minnesota,1107477,210270,209570,700,2019,12,2018,1,
West Virginia,565134,179285,179285,,2017,9,2016,5,
Minnesota,1072791,173582,172671,911,2016,12,2014,8,
District of Columbia,249397,106590,67486,39104,2018,8,2016,12,
Missouri,917094,,,,2017,7,2015,5,
Vermont,197911,55544,0,55544,2017,7,2015,2,
Rhode Island,283650,60223,60223,,2017,9,2016,7,
Minnesota,1134287,187060,186132,928,2017,9,2016,3,
District of Columbia,239052,103561,62110,41451,2017,7,2015,10,
Mississippi,713334,,,,2016,12,2014,11,
North Dakota,93087,21014,20020,994,2017,9,2016,7,Awaiting state reporting/enrollment reasonableness review in progress
Arkansas,939770,312616,312282,334,2018,8,2017,8,
Guam,36853,2975,,2975,2016,12,2014,8,
Connecticut,916906,241074,221498,19576,2019,12,2017,12,
Tennessee,1644449,,,,2018,8,2017,3,
Indiana,1085349,,,,2016,12,2014,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Massachusetts,1789664,364102,,364102,2017,7,2015,9,
Totals,75916593,15055201,11638011,3417190,2017,9,2016,7,
Georgia,1840262,,,,2018,8,2017,5,
California,1212665,2200179,2200179,0,2016,12,2014,8,Awaiting state reporting/enrollment reasonableness review in progress
California,11357535,3809873,3809873,0,2018,8,2017,8,
Illinois,2837020,720375,613844,106531,2019,12,2018,4,
Puerto Rico,1282077,381237,,381237,2017,9,2016,6,
Texas,4305237,,,,2017,9,2016,6,
New Mexico,882470,258183,258183,0,2018,8,2016,11,
California,13184199,3820310,3820310,0,2019,12,2017,10,
Alaska,120605,,,,2017,7,2015,8,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
